0x00000020: Kuke
0x00001ba6: Eh
0x00001baa: O
0x00001bae: KA
0x00001bb2: ☐
0x00001bb6: s
0x00001bba: YES
0x00001bd8: Hey
0x00001c02: E-Ki
0x00001c0e: Group
0x00001c12:
0x00001c16: Ξ
0x00001c19: ≧
0x00001c1d: ≦
0x00001c32: ↗
0x00001c41: ＞Quasi
0x00001c5b: Tao
0x00001d03: Umbrella
0x00001d16: A
0x00001d26: Yes
0x00001d2a: ｰﾟ
0x00001d2e: YES
0x00001d32: N
0x00001d5b: Kei
0x00001d96:
0x00001d9a: ökuka
0x00001daa: YES
0x00001df7: っmio
0x00001e27: tmio
0x00001e36: ｰﾟ
0x00001e67: tmio
0x00001e97: tmio
0x00001ea2: ｰﾟ
0x00001ea6: YES
0x00001ebf: term
0x00001ee2: Re
0x00001ef6: l
0x00001efe: ö
0x00001f02: Re
0x00001f06:
0x00001f0a: Mashira
0x00001f12: 筮
0x00001f16: Re
0x00001f22: Ξ
0x00001f9f: term
0x00001fc2: Re
0x00001fd6: l
0x00001fde: ö
0x00001fe2: Re
0x00001fe6:
0x00001fea: Mashira
0x00001ff2: 筮
0x00001ff6: Re
0x00002002: Ξ
0x00002097: term
0x000020ba: Re
0x000020ce: l
0x000020d6: ö
0x000020da: Re
0x000020de:
0x000020e2: Mashira
0x000020ea: 筮
0x000020ee: Re
0x000020fa: Ξ
0x0000217a: Mashira
0x0000219a: Mashira
0x000021aa: pupa
0x000021ae: Satin
0x000021b2:
0x000021be: Tsha
0x000021c2: Satin
0x000021ce: 罧
0x000021d2: Do
0x000021d6: Ne
0x000021da: Ò
0x000021de: Ö
0x000021e2: ɔ́
0x000021e6: ə́
0x000021ea: ㍗
0x000021ee: %
0x00002212: Do
0x00002216: Ne
0x0000221a: ö
0x0000224a: Mashira
0x0000226a: Mashira
0x0000227a: Chrysalis
0x0000227e: Satin
0x00002282:
0x0000228e: Tsha
0x00002292: Satin
0x0000229e: 罧
0x000022a2: Do
0x000022a6: Ne
0x000022aa: Ò
0x000022ae: Ö
0x000022e2: Mashira
0x00002302: Mashira
0x00002312: pupa
0x00002316: Satin
0x0000231a:
0x00002326: Tsha
0x0000232a: Satin
0x00002336: 篧
0x0000233a: Do
0x0000233e: Ne
0x00002342: Ò
0x00002346: Ö
0x0000234a: ɔ́
0x0000234e: ə́
0x00002352: ㍗
0x00002356: %
0x0000237a: Re
0x000023a2: Mashira
0x000023c2: Mashira
0x000023d2: Chrysalis
0x000023d6: Satin
0x000023da:
0x000023e6: Tsha
0x000023ea: Satin
0x000023f6: 罧
0x000023fa: Do
0x000023fe: Ne
0x00002402: Ò
0x00002406: Ö
0x0000240a: ̠
0x00002442: Mashira
0x00002462: Mashira
0x00002472: pupa
0x00002476: Satin
0x0000247a:
0x00002486: Tsha
0x0000248a: Satin
0x00002496: 篧
0x0000249a: Do
0x0000249e: Ne
0x000024a2: Ò
0x000024a6: Ö
0x000024aa: ɔ́
0x000024ae: ə́
0x000024ea: Mashira
0x0000250a: Mashira
0x0000251a: Chrysalis
0x0000251e: Satin
0x00002522:
0x0000252e: Tsha
0x00002532: Satin
0x0000253e: 罧
0x00002542: Do
0x00002546: Ne
0x0000254a: Ò
0x0000254e: Ö
0x00002552: ɔ́
0x00002556: ə́
0x0000255a: ㍗
0x0000255e: %
0x00002582: Re
0x000025aa: Mashira
0x000025ca: Mashira
0x000025da: pupa
0x000025de: Satin
0x000025e2:
0x000025ee: Tsha
0x000025f2: Satin
0x000025fe: 罧
0x00002602: Do
0x00002606: Ne
0x0000260a: Ò
0x0000260e: Ö
0x00002612: ɔ́
0x00002616: ə́
0x0000261a: ㍗
0x0000261e: %
0x00002642: Do
0x00002646: Ne
0x0000264a: ö
0x0000267a: Mashira
0x0000269a: Mashira
0x000026aa: pupa
0x000026ae: Satin
0x000026b2:
0x000026be: Tsha
0x000026c2: Satin
0x000026ce: 罧
0x000026d2: Do
0x000026d6: Ne
0x000026da: Ò
0x000026de: Ö
0x000026e2: ɔ́
0x000026e6: ə́
0x000026ea: ㍗
0x000026ee: %
0x00002712: Do
0x00002716: Ne
0x0000271a: ö
0x0000274a: Mashira
0x0000276a: Mashira
0x0000277a: Chrysalis
0x0000277e: Satin
0x00002782:
0x0000278e: Tsha
0x00002792: Satin
0x0000279e: 罧
0x000027a2: Do
0x000027a6: Ne
0x000027aa: Ò
0x000027ae: Ö
0x000027b2: ɔ́
0x000027b6: ə́
0x000027ba: ㍗
0x000027be: %
0x000027e2: Do
0x000027e6: Ne
0x000027ea: Ò
0x000027ee: Ö
0x000027f2: ɔ́
0x000027f6: ə́
0x00002832: Mashira
0x00002852: Mashira
0x00002862: pupa
0x00002866: Satin
0x0000286a:
0x00002876: Tsha
0x0000287a: Satin
0x00002886: 篧
0x0000288a: Do
0x0000288e: Ne
0x00002892: ö
0x000028c2: Mashira
0x000028e2: Mashira
0x000028f2: pupa
0x000028f6: Satin
0x000028fa:
0x00002906: Tsha
0x0000290a:
0x00002916: 篧
0x0000291a: Do
0x0000291e: Ne
0x00002922: Ò
0x00002926: Ö
0x0000295a: Mashira
0x0000297a: Mashira
0x0000298a: pupa
0x0000298e:
0x00002992:
0x0000299e: Tsha
0x000029a2: Satin
0x000029ae: 罧
0x000029b2: Do
0x000029b6: Ne
0x000029ba: ö
0x000029ea: 竚
0x00002a0a: Mashira
0x00002a1a: pupa
0x00002a1e: Satin
0x00002a22:
0x00002a2e: Tsha
0x00002a32: Satin
0x00002a3e: ​​罧
0x00002a42: Do
0x00002a46: Ne
0x00002a72: Mashira
0x00002a92: Mashira
0x00002aa2: Chrysalis
0x00002aa6: Satin
0x00002aaa:
0x00002ab6: Tsha
0x00002aba: Satin
0x00002ac6: 罧
0x00002aca: Do
0x00002ace: Ne
0x00002ad2: Ò
0x00002ad6: Ö
0x00002ada: ̠
0x00002b12: Mashira
0x00002b32: Mashira
0x00002b42: Chrysalis
0x00002b46: Satin
0x00002b4a:
0x00002b56: Tsha
0x00002b5a: Satin
0x00002b66: 罧
0x00002b6a: Do
0x00002b6e: Ne
0x00002b72: Ò
0x00002b76: Ö
0x00002b7a: ̠
0x00002bde: sir
0x00002bfa: Mashira
0x00002c1a: Mashira
0x00002c2a: pupa
0x00002c2e: Satin
0x00002c32:
0x00002c3e: Tsha
0x00002c42: Satin
0x00002c4e: 罧
0x00002c52: Do
0x00002c56: Ne
0x00002c5a: Ò
0x00002c5e: Ö
0x00002c62: ɔ́
0x00002c66: ə́
0x00002c6a: ㍗
0x00002c6e: %
0x00002c92: Do
0x00002c96: Ne
0x00002c9a: ö
0x00002cbe: Uh
0x00002cc6: Z
0x00002cce: U
0x00002cd6: Z
0x00002ce2:
0x00002d01: Last
0x00002d4b: plot
0x00002d52: Ah
0x00002d72: "
0x00002d7a: Yip
0x00002d7e: ､ｯ
0x00002d99: !
0x00002daa: ･ｯ
0x00002e3e: ｣
0x00002e4a:
0x00002e6e:
0x00002e7e: "
0x00002ea7: approx.
0x00002eba: ーAh
0x00002eea: "
0x00002eee: Ah
0x00002ef6: Aaa
0x00002f16: Ah
0x00002f22: "
0x00002f3a: "
0x00002f46:
0x00002f66: Ah
0x00002f76:
0x00002f7e: "
0x00002fb6: "
0x00002fba: " "
0x00002fc6: Ah
0x00002fca: o」
0x00002fce: "
0x00002fd2:
0x00002fda: See
0x00002ffa:
0x00003005: Breeding
0x00003012:
0x00003022: Yeah
0x00003041: Job
0x0000304a: "
0x0000306a: Wow
0x0000306e: “Yui
0x00003075: 岧
0x0000308a: Ah
0x000030aa: See
0x000030b2:
0x000030b6: Hey
0x000030ea:
0x000030f1: Destination
0x00003102: Hey
0x0000311a: Yeah
0x00003139: Job
0x00003142: "
0x0000315e: Hey
0x00003179: 岧
0x00003186:
0x0000319a: Wow
0x000031a1: Absolute
0x000031b2: See
0x000031ba: "Ah
0x000031c6: ” for
0x000031d6: "
0x000031ea: Yeah
0x00003209: Job
0x00003216:
0x00003232: ｰﾟ
0x00003236: A
0x0000323a: Yes
0x0000323e: Ugh
0x00003242: Eh
0x00003246: O
0x0000324a: Ka
0x0000324e: ☐
0x00003252:
0x00003256:
0x0000326d: 𡑮
0x0000329e: ･ｯ
0x000032aa: t
0x000032ce: "
0x000033b6: " "
0x000033c2: "
0x000033c6: Ugh
0x000033ca: 」」
0x000033ce: Oh
0x000033d2: "
0x000033da: ​​Aaa
0x00003409: Wipe
0x00003421: Last
0x00003426: ｰﾟ
0x0000342a: A
0x0000342e: Yes
0x00003432: Ugh
0x00003436: Eh
0x0000343a: O
0x0000343e: Ka
0x00003442: ☐
0x00003446:
0x0000344a: YES
0x000034ab: System
0x000034ce: Re
0x000034e2: Brother I
0x000034ff: Bored
0x00003578: 璦
0x000035d8: 璦
0x0000361f: umbrella
0x0000362f: Attraction
0x00003640: 璦
0x00003666: Ya
0x00003676: îchi
0x00003686: t
0x00003696: t
0x000036b0: 璦
0x000036e0: 璦
0x00003710: 璦
0x00003733: Support
0x00003740: 璦
0x000037a0: 璦
0x00003800: 璦
0x00003860: 璦
0x000038c0: 璦
0x000038f3: Military
0x00003907: Plate
0x00003917: Mackerel
0x00003927: Kill
0x00003937: Cave
0x00003967: Umbrella
0x0000398f: л
0x000039a3: person
0x000039b0: 璦
0x000039c4: 矬
0x000039ff: Umbrella
0x00003a20: 璦
0x00003a34: 矬
0x00003a43: Eaves
0x00003a71: ＜
0x00003a8f: umbrella
0x00003a9b: ⓴Ko
0x00003ab2: ｰﾟ
0x00003ab6: A
0x00003aba: Yes
0x00003abe: Ugh
0x00003ac2: Eh
0x00003ac6: O
0x00003aca: KA
0x00003ace: ☐
0x00003ad2:
0x00003b03: Question
0x00003b0a: ｰﾟ
0x00003b0f: Return
0x00003b16: ｰﾟ
0x00003bc2: "
0x00003bc6: ､ｯ
0x00003bca: ･ｯ
0x00003bce: "
0x00003bd2:
0x00003bd6: ､ｯ
0x00003bda: ｣
0x00003be2: ･ｯ
0x00003c23: Thorn
0x00003c47:
0x00003c59: ＞
0x00003c5e: Robbery
0x00003c66: Ship
0x00003c6d: <Semi-
0x00003c9e: Re
0x00003cb6: 含
0x00003cbe: ⑤
0x00003cff: 蒹
0x00003d6a: Re
0x00003d86: Ξ
0x00003d96: ”Peep
0x00003daa: ÿ
0x00003dc6: Ma
0x00003dcf: 魣
0x00003de7: Blasphemy
0x00003dfa: Ma
0x00003e0f: Blasphemy
0x00003e26: "Wow
0x00003e53:
0x00003e6e: Chrysalis
0x00003e8e: ｰﾟ
0x00003e92: A
0x00003e96: Yes
0x00003e9a: Ugh
0x00003e9e: E
0x00003ea2: YES
0x00003eb9: 闗
0x00003ee7: Scarcity
0x00003eee: ｰﾟ
0x00003ef3: Feng
0x00003f22: ．
0x00003f2e: ↗
0x00003f3a:
0x00003f46: ．
0x00003f7f: Run over
0x00003fc6: Talk
0x00003fde: ．
0x00003ff8: Ete
0x00003ffe: ．
0x00004002: ⌆
0x0000402e: ．
0x00004048: Ete
0x0000404e: ．
0x00004052: ⌆
0x0000406c: 茼
0x0000407e: ．
0x00004098: Ete
0x0000409e: ．
0x000040a2: ⌆
0x000040bc: Huh
0x000040ca: ．
0x000040d5: iii.
0x00004111: Reed
0x0000413e: ↗
0x00004156: ↗
0x000041c2: ．
0x000041da: ．
0x00004206: ．Ta
0x0000420f: After
0x0000421e: ．
0x00004268: Box
0x0000426e: ．
0x0000427a: ．
0x000042cf: za
0x000042e2: ⓹
0x000042ee: ㇿ
0x0000431e: ↗
0x00004332: D
0x0000434b: Navel
0x0000434f: After
0x00004376: ↗
0x0000438a: D
0x000043b2: ．Ta
0x000043bb: suburb
0x000043eb: Navel
0x00004432: ｰﾟﾈ
0x00004436: Ami
0x0000443a: I
0x0000443e: Ugh
0x00004442: Eh
0x00004446: O
0x0000444a: Ka
0x0000444e: ☐
0x00004452:
0x00004456: ONU
0x0000445a: N
0x0000446e: ．
0x000044de: NET
0x000044e2: Nitto
0x000044ea: Nat
0x000044f2: Toto
0x0000450b: Totsu
0x0000452f: 蓴
0x00004552:
0x000045b2: 酘
0x000045ba: 貽
0x000045c2: Moth
0x000045c6: Moo
0x000045d2:
0x000045da: "Totsu
0x000045e2: ｡To
0x000045ff: 蓴
0x0000468a: YES
0x0000468e: ｰﾟ
0x00004692: N
0x000046f2:
0x000046f6: ｰﾟ
0x000046fa: N
0x0000475a: YES
0x0000475e: ｰﾟ
0x00004762: N
0x00004785: 闗
0x00004798: 璦
0x000047ee: Ahh
0x000047f2: ｣Ya
0x000047f6: Wow
0x000047fe: Ugh
0x0000482e: Aaa
0x00004832: ･a
0x00004836: Wow
0x0000483a:
0x0000483e:
0x00004842: "
0x00004857: Umbrella
0x000048b8: 璦
0x000048cc: 璦
0x000048d4: 矬
0x00004952: Mashira
0x0000497a: 筮
0x00004982: V
0x00004996: Spider
0x000049b2: Ma
0x000049bb: 魣
0x000049e6: Ma
0x000049f7: 魣
0x00004a1a: ｣
0x00004a5d: Ko
0x00004a76: ｰﾟ
0x00004a7e: A
0x00004a82: Yes
0x00004a86: Ugh
0x00004a8a: YES
0x00004ae5: 脤
0x00004aff: Extinction
0x00004b13: Real
0x00004bb6: ､ｯ
0x00004bbe: "
0x00004bc2: Eh?
0x00004bca: Oh
0x00004c46:
0x00004c52:
0x00004c56: "
0x00004c66:
0x00004c72:
0x00004c76: "
0x00004c95: This
0x00004cd2: Mashira
0x00004cfa: 筮
0x00004d03: Drawing
0x00004d16: Spider
0x00004d32:
0x00004d3b: 魣
0x00004d76:
0x00004d87: 魣
0x00004db2: ⓹
0x00004dca: ㇿ
0x00004ddb:
0x00004df6: Chrysalis
0x00004e1a: ｰﾟ
0x00004e1e: A
0x00004e22: Yes
0x00004e26: Ugh
0x00004e2a: E
0x00004e2e: O
0x00004e32: Ka
0x00004e36:
0x00004e59: 闗
0x00004ea2: Wow
0x00004ea6: ･ｯ
0x00004eaa: Wow
0x00004eae: ･ｯ
0x00004eb2:
0x00004eb6: "
0x00004eba: ｣
0x00004ec2: "
0x00004ee3: Umbrella
0x00004f46: ta
0x00004f4e: ” Peep
0x00004f62: Napee
0x00004f7e:
0x00004f87: 魣
0x00004fe2: ｰﾟ
0x00004fe6: A
0x00004fea: Yes
0x00004fee: sir
0x00005001: 闗
0x0000502f: Role
0x00005036: ｰﾟ
0x0000503b: Field
0x0000505e: ↗
0x00005066:
0x00005072: ．
0x0000508f: Run over
0x000050cf: Sui
0x000050e6: ．
0x00005100: Ete
0x00005106: ．
0x0000510a: ⌆
0x00005136: ．
0x00005150: Ete
0x00005156: ．
0x0000515a: ⌆
0x00005174: 茼
0x00005182: ．
0x0000518d: -.
0x0000519a: E-Kan
0x000051bd: iii.
0x000051d1: Reed
0x000051fe: ↗
0x00005216: ↗
0x00005297: umbrella
0x000052a6: ．
0x000052ae: ．
0x000052b4: Box
0x000052ba: ．
0x000052df: Real
0x00005352: ．
0x00005356: Scarlet
0x00005396: Ma
0x0000539f: 魣
0x000053f2: ｰﾟﾈ
0x000053f6: Ami
0x000053fa: I
0x000053fe: Ugh
0x00005402: Eh
0x00005406: O
0x0000540a: Ka
0x0000540e:
0x00005412: Kanu
0x00005416: ONU
0x0000541a: N
0x00005435: 闗
0x00005472: d
0x0000548a: Ξ
0x00005492: Tsha
0x000054c7: umbrella
0x00005526: tee
0x0000552e: ” Peep
0x00005542: Napee
0x0000555e:
0x00005567: 魣
0x000055c2: ｰﾟ
0x000055c6: A
0x000055ca: Yes
0x000055ce: Ugh
0x000055d2:
0x000055ed: 闗
0x0000562a: d
0x00005642: Ξ
0x0000564a: Tsha
0x0000567f: Umbrella
0x000056de: ta
0x000056e6: ” Peep
0x000056fa: Napee
0x00005716: Ma
0x0000571f: 魣
0x0000577a: ｰﾟ
0x0000577e: A
0x00005782: Yes
0x00005786: Ugh
0x0000578a: YES
0x000057f6: "
0x000057fa: ｣Ah
0x00005802: ･a
0x00005809: Hey
0x0000582b: After
0x00005852: Ya
0x0000586a: Z
0x0000586e: ｢Я
0x00005873: Za
0x0000588e:
0x00005897: 魣
0x000058ae: Continued
0x000058b6: Ma
0x000058cb: 魣
0x000058de: ｣Wa
0x0000590b:
0x00005926: Chrysalis
0x0000593a: ｰﾟ
0x00005942: A
0x00005946: Yes
0x0000594a: Ugh
0x0000594e: Eh
0x00005952: O
0x00005956:
0x0000598a: "
0x0000598e: ｣Ah
0x00005996: ･a
0x000059f2: тЯ
0x00005a06: Z
0x00005a0b: Ê
0x00005a0f: za
0x00005a2a: Ma
0x00005a33: 魣
0x00005a56: Ma
0x00005a6b: 魣
0x00005a82: "Wow
0x00005aaf:
0x00005aca: Chrysalis
0x00005ade: ｰﾟ
0x00005ae6: YES
0x00005b05: 𡑮
0x00005b5a: ･ｯ
0x00005b62: "
0x00005b6a:
0x00005b72: "
0x00005b76: Wow
0x00005b7a: ｣
0x00005b82: ･a
0x00005b93: Detection
0x00005c0a: ﾂЯ
0x00005c0f: Real
0x00005c2a: Two
0x00005c32:
0x00005c52: Two
0x00005c66: ﾂ魣
0x00005c7a: Tsuyoshi
0x00005c90: Zhang
0x00005c96: Armpit
0x00005cbe: ˘
0x00005cd2: Lizard
0x00005cea: ˘
0x00005d02: ｰﾟ
0x00005d06: A
0x00005d0a: Yes
0x00005d0e: U
0x00005d12: Eh
0x00005d16: O
0x00005d1a: Ka
0x00005d1e: ☐
0x00005d22: s
0x00005d26:
0x00005d45: Last
0x00005d85: So-called
0x00005d92: "
0x00005d9a: "
0x00005d9e: Wow
0x00005da2: ｣Ah
0x00005daa: ･a
0x00005df3: ɺ
0x00005e06: ﾂ､
0x00005e0b: ɺ
0x00005e0f: Real
0x00005e2a: Two
0x00005e32:
0x00005e56: Two
0x00005e6a:
0x00005e82: Lottery
0x00005e98: Zhang
0x00005e9e: String
0x00005ec6: ˘
0x00005eea: ˘
0x00005f06: 辮
0x00005f12: B
0x00005f16: ｰﾟ
0x00005f1a: A
0x00005f1e: Yes
0x00005f22: Ugh
0x00005f26: Eh
0x00005f2a: O
0x00005f2e: Ka
0x00005f32: ☐
0x00005f36:
0x00005f3a: YES
0x00005f61: 闗
0x00005f92: ･ｯ
0x00005f96: Wow
0x00005f9a: ｣
0x00005fa2: "
0x00005fc3: Umbrella
0x0000600a:
0x00006013: Detection
0x00006032: 筮
0x0000603f: Drawing
0x00006052: Spider
0x0000606e:
0x00006077: 魣
0x000060ce: ｰﾟ
0x000060d2: A
0x000060d6: Yes
0x000060da: YES
0x000060f1: 𡑮
0x00006167: Lost
0x00006182:
0x00006186: "
0x000061b4: Japanese fox
0x000061d2: Wow
0x000061de: "
0x000061e2: Ah
0x00006266:
0x00006272: "
0x0000627a: ･ｯ
0x000062df: Ground
0x00006317: Umekoi
0x0000631e: , ah
0x00006326: "
0x00006383: Consider
0x0000639f: Draft
0x000063de: ",
0x000063ea:
0x000063f3: 魣
0x000063f7: Ko
0x00006403: Za
0x0000642c: 䐜
0x00006452: Ma
0x0000645b: 魣
0x0000646b: Za
0x0000649e: ÿ
0x000064a3: Print
0x000064ba: Ma
0x000064c3: 魣
0x000064f2: V
0x000064f7: Salmon
0x00006506: Napee
0x0000650b: Print
0x00006522: Ma
0x0000652b: 魣
0x0000653e: "Palace
0x00006552: ⓹
0x0000656a: ㇿ
0x0000656e: "Palace
0x00006586: "Wow
0x000065ae: Ma
0x000065c3: 魣
0x000065d2: "Wow
0x00006608: 璦
0x0000661c: 矬
0x00006642: "
0x00006646:
0x0000665a: "Swamp
0x0000666e: "
0x0000667e:
0x00006682: ｰﾟ
0x00006686: A
0x0000668a: Yes
0x0000668e: Ugh
0x00006692: Eh
0x00006696: O
0x0000669a: Ka
0x0000669e: ☐
0x000066a2: s
0x000066a6: YES
0x000066c1: 闗
0x000066db: I
0x0000671c: 璦
0x0000672c: 璦
0x0000676c: 璦
0x00006790: 璦
0x000067a0: 璦
0x000067ac: 矬
0x000067c3: Umbrella
0x000067e3: ̬
0x000067e6: l
0x000067f2: Re
0x0000680e: ｰﾟ
0x00006814: son-in-law
0x0000682e:
0x0000683e: "
0x0000684e:
0x0000685f: A
0x00006862: "Ako
0x00006866:
0x0000687e: Ah
0x00006882: "
0x0000688a: , ah
0x000068a3: Demon
0x000068aa: "Ahhh
0x000068ae:
0x000068b6: , ah
0x000068c2: "
0x000068c8: 璦
0x000068d7: Shizuku
0x00006908: 璦
0x00006918: 璦
0x00006924: 矬
0x0000693b: Umbrella
0x00006947: ̬
0x0000694f: ̠
0x00006953: Yomimi
0x00006956: ｰﾟﾘ
0x0000695a: A
0x0000695e: Yes
0x00006962: Ugh
0x00006966:
0x0000697d: 闗
0x00006987: Shape
0x000069c8: 璦
0x000069dc: 璦
0x00006a1c: 璦
0x00006a40: 璦
0x00006a50: 璦
0x00006a5c: 矬
0x00006a73: Umbrella
0x00006a8a: ｰﾟ
0x00006a8e: A
0x00006a92: Yes
0x00006a96:
0x00006ab1: dumb
0x00006ab9: Passed away
0x00006ac1: 倨
0x00006aed: 咩
0x00006af3: Button
0x00006b0a: ｰﾟﾀ
0x00006b13: Death
0x00006b42: "
0x00006b4e:
0x00006b5a: "
0x00006b66: "
0x00006b72: , ah
0x00006b76:
0x00006b8c: 璦
0x00006bd0: 璦
0x00006be8: 矬
0x00006bec: 璦
0x00006c30: 璦
0x00006c44: 矬
0x00006c6a: ･a
0x00006c7a: Wow
0x00006c7e: "
0x00006c86:
0x00006ca8: 璦
0x00006cbc: 矬
0x00006cca: ｰﾟﾘ
0x00006cce: A
0x00006cd2: Yes
0x00006cd6: Ugh
0x00006cda: Eh
0x00006cde: sir
0x00006cf5: Explanation
0x00006d1b: trout
0x00006d57: Death
0x00006d7e: Hey
0x00006d8a: "
0x00006d8e: Scepter
0x00006da2: "
0x00006daa: 苳
0x00006db2: Continue
0x00006dbe: iii
0x00006dc2: , ah
0x00006dc6:
0x00006dca: "
0x00006df0: 璦
0x00006e38: 璦
0x00006e4c: 矬
0x00006e64: 璦
0x00006ea8: 璦
0x00006ebc: 矬
0x00006ec8: 璦
0x00006ee6: ah
0x00006eea: ･a
0x00006efa: "
0x00006f02:
0x00006f38: 璦
0x00006f4c: 矬
0x00006f66: ｰﾟﾘ
0x00006f6a: A
0x00006f6e: Yes
0x00006f72: Ugh
0x00006f76: Eh
0x00006f7a: O
0x00006f7e:
0x00006f9c: 璦
0x00006fa5: 闗
0x00006fbe: ･a
0x00006fc6:
0x00006fca: "Ah
0x00007020: 璦
0x00007034: 矬
0x00007042: ｰﾟﾘ
0x00007046: A
0x0000704a: Yes
0x0000704e: Ugh
0x00007052:
0x00007061: Eye
0x00007089: 闗
0x000070aa: B
0x00007107: “璦
0x00007122: ･a
0x00007126: "
0x0000712a:
0x00007180: 璦
0x00007194: 璦
0x0000719c: 矬
0x000071ca: BMi
0x000071ce: ｰﾟ
0x000071d6: A
0x000071da: Yes
0x000071de: Ugh
0x000071e2: E
0x000071e6: YES
0x00007209: An
0x00007211: Print
0x00007250: 貂
0x00007255: gauze
0x0000725c: 矬
0x00007295: Eagle
0x000072ae: Mumhe
0x000072fd: gauze
0x00007301: Drunk
0x0000737e: Box
0x00007382: 陟
0x00007386: ”Shiba
0x000073cd: Hail
0x00007435: gauze
0x00007446: Mumhe
0x00007495: Hail
0x000074ba: p
0x000074c2: " "
0x000074c6: ヰ
0x000074ca: B
0x000074ce: "Residence
0x000074d2: Ah
0x00007511: gauze
0x00007532: B
0x00007541: Sea bream
0x0000758d: gauze
0x000075c1: Drunk
0x000075e2: p
0x000075ea: " "
0x000075ee: ヰ
0x000075f2: B
0x000075f6: "Residence
0x000075fa: Ah
0x00007645: Sea bream
0x0000764a: ｰﾟ
0x0000764e: A
0x00007652: Yes
0x00007656:
0x0000767d: 闗
0x000076c3: Tin
0x000076ef: Take
0x000076fc: 矬
0x00007716: See
0x00007732: "
0x00007736: Kya
0x0000773a: Kaa
0x0000773e: Oh
0x00007788: 璦
0x000077a0: 矬
0x000077b3: Detection
0x000077b6: ｰﾟ
0x000077ba: A
0x000077be: Yes
0x000077c2: Ugh
0x000077c6: Eh
0x000077ca: O
0x000077ce: Ka
0x000077d2: ☐
0x000077d6: s
0x000077da: YES
0x00007827: Take
0x00007834: 矬
0x0000783e: ー｟
0x00007842:
0x00007859: 闗
0x000078c8: Shiki
0x000078f8: ⅵ
0x00007904: 矬
0x00007913: Blasphemy
0x00007916: ｰﾟ
0x0000791a: A
0x0000791e: Yes
0x00007922: Ugh
0x00007926: Eh
0x0000792a: O
0x0000792e: YES
0x00007949: 𡑮
0x00007951: Print
0x0000797c: 璦
0x0000799e: ･a
0x000079a6: Wow
0x000079aa: Aaa
0x000079ae: ーAh
0x000079b2:
0x000079b6:
0x00007a00: 璦
0x00007a14: 矬
0x00007a22: ｰﾟﾘ
0x00007a26: A
0x00007a2a: Yes
0x00007a2e: Ugh
0x00007a32:
0x00007a4a: Re
0x00007a56:
0x00007a5e:
0x00007a88: Cough
0x00007aa2: YES
0x00007aa6: ｰﾟ
0x00007ab9: 𡑮
0x00007b32: Wow
0x00007b37: Kaji
0x00007b5a: A
0x00007b5e: ｰﾟ
0x00007b62: Yes
0x00007b66: Ugh
0x00007b6a: Eh
0x00007b6e: YES
0x00007b85: 闗
0x00007bc4: Kaji
0x00007bda: ｰﾟ
0x00007bde: A
0x00007be2: Yes
0x00007be6: Ugh
0x00007bea: Eh
0x00007bee: Yeah
0x00007c1f: jo
0x00007c4e: ｰﾟ
0x00007c56: A
0x00007c5a: Yes
0x00007c62: Ugh
0x00007c6a: Eh
