0x20: Kuke
0x3012 :
0x3022: Yes
0x304a: "Ah
0x306a :
0x306e: “Yui
0x308a: Ah
0x30aa :
0x30b2 :
0x30b6: Eh?
0x30ea :
0x3102: Eh?
0x311a: Yes
0x3142: "
0x315e: Eh
0x3186 :
0x319a: Wow
0x31b2 :
0x31ba: "Ah
0x31c6: ” for
0x31d6: "Ah
0x31ea: Yes
0x3216 :
0x3232: -
0x3236: A
0x323a: Yes
0x323e: Uh
0x3242: E
0x3246: O
0x324a :
0x324e: K
0x3252 :
0x3256 :
0x329e: ･ｯ
0x32ce: "
0x33b6: " "
0x33c2 :
0x33c6 :
0x33ca: 」」
0x33ce: Oh
0x33d2: "
0x33da: Ahh
0x3426: -
0x342a: A
0x342e: Yes
0x3432: Uh
0x3436: Eh
0x343a: O
0x343e: K
0x3442: K
0x3446 :
0x344a :
0x34e2: Brother I
0x3676: îch
0x3a9b : ⓴Ko
0x3ab2: -ﾟ
0x3ab6: A
0x3aba :
0x3abe: Uh
0x3ac2: E
0x3ac6: O
0x3aca :
0x3ace: K
0x3ad2 :
0x3b0a: -ﾟ
0x3b16: -ﾟ
0x3bc2: "
0x3bc6: ､ｯ
0x3bca: ･ｯ
0x3bce: "
0x3bd2 :
0x3bd6: ､
0x3bda: ｣
0x3be2: ･ｯ
0x3c47 :
0x3c6d: <semi-
0x3d96: ” Peep
0x3e26: "Wow
0x3e53 :
0x3e8e:ｰﾟ
0x3e92: A
0x3e96: Yes
0x3e9a: Uh
0x3e9e: E
0x3ea2 :
0x3eee:ｰﾟ
0x3ff8: Ete
0x4048: Ete
0x4098: Ete
0x40bc: Hu
0x40d5: iii.
0x4206: ．Ta
0x43b2: ．Ta
0x4432 :
0x4436: Ami
0x443a: I
0x443e: Uh
0x4442: E
0x4446: O
0x444a :
0x444e: K
0x4452 :
0x4456: Onu
0x445a: N
0x44de :
0x44e2: Nito
0x44ea: Nat
0x44f2: Toto
0x450b: Totsu
0x4552 :
0x45d2 :
0x45da: "Totsu
0x45e2: ｡To
0x468a :
0x468e: -ﾟ
0x4692: N
0x46f2 :
0x46f6: -ﾟ
0x46fa: N
0x475a :
0x475e: -ﾟ
0x4762: N
0x47ee: Ahh
0x47f2: ｣Ya
0x47f6 :
0x47fe: Ugh
0x482e: Ahh
0x4832: ･a
0x4836 :
0x483a :
0x483e :
0x4842: "
0x4a1a: ｣
0x4a5d :
0x4a76: -
0x4a7e: A
0x4a82: Yes
0x4a86: Uh
0x4a8a :
0x4bb6: ､
0x4bbe: "
0x4bc2 :
0x4bca: Oh
0x4c46 :
0x4c52 :
0x4c56: "
0x4c66 :
0x4c72 :
0x4c76: "
0x4c95: This
0x4ddb :
0x4e1a: -ﾟ
0x4e1e: A
0x4e22: Yes
0x4e26: Uh
0x4e2a: E
0x4e2e: O
0x4e32: K
0x4e36 :
0x4ea2: Wow
0x4ea6: ･ｯ
0x4eaa: Wow
0x4eae: ･ｯ
0x4eb2 :
0x4eb6: "
0x4eba: ｣
0x4ec2: "
0x4f46 :
0x4f4e: ” Peep
0x4f62 :
0x4fe2: -ﾟ
0x4fe6: A
0x4fea :
0x4fee :
0x5036: -
0x5100: Ete
0x5150: Ete
0x518d: -.
0x519a :
0x51bd:ｨ．
0x53f2 :
0x53f6: Ami
0x53fa: I
0x53fe: Uh
0x5402: Eh
0x5406 :
0x540a :
0x540e :
0x5412: Kanu
0x5416: Onu
0x541a: N
0x5492 :
0x5526 :
0x552e: ” Peep
0x5542 :
0x55c2: -ﾟ
0x55c6: A
0x55ca: Yes
0x55ce: Uh
0x55d2 :
0x564a :
0x56de :
0x56e6: ” Peep
0x56fa: Na peep
0x577a: -ﾟ
0x577e: A
0x5782: Yes
0x5786: Uh
0x578a :
0x57f6: "
0x57fa: ｣Ah
0x5802: ･a
0x5809: Hey
0x586e: ｢ Я
0x58de: ｣
0x590b :
0x593a: -ﾟ
0x5942: A
0x5946: Yes
0x594a: Uh
0x594e: E
0x5952 :
0x5956 :
0x598a: "
0x598e: ｣Ah
0x5996: ･a
0x59f2 : TeЯ
0x5a82: "Wow
0x5aaf :
0x5ade:ｰﾟ
0x5ae6 :
0x5b5a: ･ｯ
0x5b62: "
0x5b6a :
0x5b72: "
0x5b76: Wow
0x5b7a: ｣
0x5b82: ･a
0x5c0a:ﾂЯ
0x5c2a: Two
0x5c32:ﾂ魣
0x5c52: Two
0x5c66:ﾂ魣
0x5d02: -
0x5d06: A
0x5d0a: Yes
0x5d0e: U
0x5d12: Eh
0x5d16: O
0x5d1a :
0x5d1e: K
0x5d22 :
0x5d26 :
0x5d92: "
0x5d9a: "
0x5d9e: Wow
0x5da2: ｣Ah
0x5daa: ･a
0x5e06 :
0x5e2a: Two
0x5e32:ﾂ魣
0x5e56: Two
0x5e6a :
0x5f16:ｰﾟ
0x5f1a: A
0x5f1e: Yes
0x5f22: Uh
0x5f26: Eh
0x5f2a: O
0x5f2e: K
0x5f32: K
0x5f36 :
0x5f3a :
0x5f92: ･ｯ
0x5f96: Wow
0x5f9a: ｣
0x5fa2: "
0x600a :
0x60ce:ｰﾟ
0x60d2: A
0x60d6: Yes
0x60da :
0x6182 :
0x6186: "
0x61d2 :
0x61de: "
0x61e2: Ahh
0x6266 :
0x6272: "
0x627a: ･ｯ
0x6317: Umekoi
0x631e :
0x6326: "
0x63de: ",
0x6506: Na peep
0x653e: "Palace
0x656e: "Palace
0x6586: "Wa
0x65d2: "Wa
0x6642: "
0x6646 :
0x665a: "Swamp
0x666e: "
0x667e :
0x6682: -
0x6686: A
0x668a: Yes
0x668e: Uh
0x6692: Eh
0x6696: O
0x669a :
0x669e: K
0x66a2 :
0x66a6 :
0x680e: -ﾟ
0x682e :
0x683e: "
0x684e :
0x685f: Ah
0x6862: "Ako
0x6866 :
0x687e: Ah
0x6882: "
0x688a :
0x68aa: "Ahhh
0x68ae :
0x68b6 :
0x68c2: "Ah
0x6953: Yomimi
0x6956 :
0x695a: A
0x695e: Yes
0x6962: Uh
0x6966 :
0x6a8a: -ﾟ
0x6a8e: A
0x6a92: Yes
0x6a96 :
0x6b0a:ｰﾟﾀ
0x6b42: "Ah
0x6b4e: ｣
0x6b5a: "Ah
0x6b66: "Ah
0x6b72 :
0x6b76 :
0x6c6a: ･a
0x6c7a :
0x6c7e: "Ah
0x6c86 :
0x6cca:ｰﾟﾘ
0x6cce: A
0x6cd2 :
0x6cd6: Uh
0x6cda: Eh
0x6cde :
0x6d7e: Eh
0x6d8a: "Ah
0x6da2: "Ah
0x6dbe :
0x6dc2 :
0x6dc6 :
0x6dca: "Ah
0x6ee6: Ah
0x6eea: ･a
0x6efa: "Ah
0x6f02 :
0x6f66 :
0x6f6a: A
0x6f6e: Yes
0x6f72: Uh
0x6f76: E
0x6f7a: O
0x6f7e :
0x6fbe: ･a
0x6fc6 :
0x6fca: "Ah
0x7042 :
0x7046: A
0x704a: Yes
0x704e: Uh
0x7052 :
0x7107: “璦
0x7122: ･a
0x7126: "
0x712a :
0x71ca: BMi
0x71ce: -ﾟ
0x71d6: A
0x71da: Yes
0x71de: Uh
0x71e2: E
0x71e6 :
0x72ae: Mumhe
0x7386: ”Shiba
0x7446: Mumhe
0x74c2: " "
0x74ce: "Residence
0x75ea: " "
0x75f6: "Residence
0x764a: -ﾟ
0x764e: A
0x7652: Yes
0x7656 :
0x76ef: Get
0x7716 :
0x7732: "
0x7736: Kya
0x773a: Ah
0x773e: Oh
0x77b6: -ﾟ
0x77ba: A
0x77be: Yes
0x77c2: Uh
0x77c6: Eh
0x77ca: O
0x77ce: K
0x77d2: K
0x77d6 :
0x77da :
0x7827: Acquisition
0x783e: -ﾟ
0x7842 :
0x78c8: Shiki
0x7916: -
0x791a: A
0x791e: Yes
0x7922: Uh
0x7926: Eh
0x792a: O
0x792e :
0x799e: ･a
0x79a6: Ah
0x79aa: Aaa
0x79ae :
0x79b2 :
0x79b6 :
0x7a22 :
0x7a26: A
0x7a2a: Yes
0x7a2e: Uh
0x7a32 :
0x7a5e :
0x7a88: Cough
0x7aa2 :
0x7aa6: -ﾟ
0x7b32 :
0x7b37: Kaji
0x7b5a: A
0x7b5e:ｰﾟ
0x7b62: Yes
0x7b66: Uh
0x7b6a: Eh
0x7b6e :
0x7bda: -ﾟ
0x7bde: A
0x7be2: Yes
0x7be6: Uh
0x7bea: E
0x7bee :
0x7c1f :
0x7c4e:ｰﾟ
0x7c56: A
0x7c5a: Yes
0x7c62: Uh
0x7c6a: E
0x7c72 :
0x7c7b: Kaji
0x7cc6:ｰﾟ
0x7cca: A
0x7cce :
0x8124: , ,
0x81fa: -ﾟ
0x8212: -
0x8276: -
0x827a: A
0x827e: Yes
0x8282: Uh
0x8286: Eh
0x828a: O
0x828e: K
0x8292 :
0x8356: Tekken
0x8372: Nah
0x8376:ﾂken
0x837a :
0x837e :
0x8386 :
0x83ae :
0x8579 :
0x868d :
0x8729 :
0x8732: ”
0x874a: ”Rin
0x8775 :
0x87fd: ､ﾂ
0x8845 :
0x884e: ”
0x8866: History
0x88da:ｦio
0x8992 :
0x8b26: -ﾟ
0x8b2a: A
0x8b2e :
0x8b32: Uh
0x8b36: Eh
0x8b3a: O
0x8b3e: K
0x8b42: K
0x8b46 :
0x8c52: -ﾟ
0x8c56: A
0x8c5a: Yes
0x8c5e: Uh
0x8c62: E
0x8c66: O
0x8c6a :
0x8c6e :
0x8ce6: So far
0x8e97: Chota
0x8ea1: S･
0x8fc6: -ﾟ
0x8fca: A
0x8fce :
0x8fd2: U
0x8fd6 :
0x9047: , ｰ
0x9091: Kuta
0x90c6: E
0x90ce: A
0x90d6: K
0x90de :
0x90e6: O
0x90ee: K
0x90f6: Uh
0x90fe :
0x9102: -
0x9156: A
0x915a: -ﾟ
0x915e :
0x91b5 :
0x925e:ｰﾟ
0x9262: A
0x9266: Yes
0x926a: Uh
0x926e: E
0x9272: O
0x9276 :
0x927a: K
0x927e :
0x93de: Ah
0x9402 :
0x9452 :
0x945a :
0x945e: "
0x9466: "Ah
0x946e :
0x9476: "Ah
0x947e :
0x9486: "
0x948e: ｣
0x9496: "
0x94a2 :
0x94ae: " "
0x94ba: 」」
0x94c6: " "
0x94d6: "
0x94ea: " "
0x94ee: 」」
0x94f2: 」
0x9506: " "
0x9516: "Ah
0x9522 :
0x9542 :
0x954e: "
0x955a :
0x9562: "
0x957e: -ﾟ
0x9582: A
0x9586: Yes
0x958a: Uh
0x958e: E
0x9592: O
0x9596: K
0x959a: K
0x959e :
0x95a2 :
0x9643: yome
0x968a: -ﾟ
0x9692: A
0x969a: Yes
0x969e :
0x96c0: Cough
0x96f6 :
0x9732 :
0x9736: -
0x9754: Tan
0x97b6: ｡輻
0x9872: -
0x9876: A
0x987a: Yes
0x987e :
0x98f7 :
0x9912: -
0x9916: A
0x991a: Yes
0x991e: Uh
0x9922: E
0x9926: O
0x992a :
0x99aa: ｡To
0x9a06: Ah
0x9a0a: Oto
0x9a12: ･T
0x9a1a: , To
0x9a33: Totsu
0x9a76: -
0x9a7a: A
0x9a7e :
0x9a9e: "Uh
0x9aa2: "
0x9aa6 :
0x9aaa: ｣
0x9ab2 :
0x9ab6 :
0x9aba: ･ﾇ
0x9abe: ､ﾇ
0x9aca: ｣
0x9ad6: "Totsu
0x9ade: ｡To
0x9bce :
0x9bd2: -ﾟ
0x9bd6: N
0x9c56 :
0x9c5a: -ﾟ
0x9c5e :
0x9cde :
0x9ce2:ｰﾟ
0x9ce6: N
0x9cf6: Chito
0x9d0e: Sa
0x9d12: Koji
0x9d16: ｜Disappeared
0x9d1a :
0x9d3a: Nat
0x9d46 :
0x9d5b: NiTyo
0x9df2: Ka disappeared
0x9dfa: ｡Manic
0x9e86: Ka
0x9e8e: ｡manic
0x9e96: ｡轢ｿ
0x9eca:ｰﾟ
0x9ece: A
0x9ed2: Yes
0x9ed6: Uh
0x9eda :
0x9ede: Sanu
0x9ee2: Konu
0x9ee6: Kenu
0x9eea: Kunu
0x9eee: Kinu
0x9ef2: Kanu
0x9ef6: Onu
0x9efa :
0x9f22 :
0x9f46: ｜轪
0x9f57: Tochi
0x9f83: Nice
0x9f8b :
0xa013 :
0xa0af: Nitsu
0xa0d8: Tsu・
0xa0e6: -ﾟ
0xa0ea :
0xa0ee: Sanu
0xa0f2: Konu
0xa0f6: Kenu
0xa0fa: Kunu
0xa0fe: Kinu
0xa102: Kanu
0xa106: Onu
0xa10a: N
0xa127:ﾇ＃
0xa12e :
0xa152 :
0xa17e :
0xa185: -.
0xa1e2: -ﾟ
0xa1e6 :
0xa1ea: Konu
0xa1ee: Kenu
0xa1f2: Kunu
0xa1f6: Kinu
0xa1fa: Kanu
0xa1fe: Onu
0xa202: N
0xa2b2: -ﾟ
0xa2b6: A
0xa2ba :
0xa2be: Uh
0xa2c2: E
0xa2c6: O
0xa2ca: Ka
0xa2ce :
0xa3be:ｰﾟ
0xa3c2: A
0xa3c6: Yes
0xa3ca: Uh
0xa3ce: E
0xa3d2: O
0xa3d6 :
0xa3da: K
0xa3de :
0xa3e2 :
0xa3f1: ≠ bell
0xa411: ≠
0xa458: Cough
0xa468: Cough
0xa4bb: "Core
0xa4ed: ÷っ屨
0xa4f5: ÷
0xa526: -
0xa52e: A
0xa532 :
0xa58e:ｰﾟ
0xa5a6: -ﾟ
0xa5aa: A
0xa5ae :
0xa5ee:ｰﾟ⓳
0xa60a: -ﾟ
0xa60e :
0xa6e0:屨ﾄ
0xa6ea: " "
0xa6f2: " "
0xa770:屨ﾄ
0xa7c8 :
0xa844 :
0xa8b0 :
0xa8d4: "I
0xa8e4 :
0xa938 :
0xa977: Yow
0xa9e8:ｮｳ
0xaa68:妦ﾄ
0xaa94:妦ﾄ
0xaad4:妦ﾄ
0xab0c:屦ﾄ
0xab56: ｢誊
0xab64:妦ﾆ
0xaba8:屦ﾄ
0xabba: ｣｣
0xabc6: ｣｣
0xabce: ｣田
0xacca: ｢｣
0xacce: ｢｣
0xacd4:妦ﾇ
0xad06: 
0xad50:ｮｳ
0xadc8:屨ﾄ
0xae5a: " "
0xae5e: " "
0xae6a: Yes, you
0xaeda :
0xaef6 :
0xaf50 :
0xb092: -
0xb096: A
0xb09a: Yes
0xb09e: Uh
0xb0a2: E
0xb0a6: O
0xb0aa: K
0xb0ae: Ki
0xb0b2 :
0xb21c: % 0
0xb264: % 0
0xb310:屨・
0xb3bc: %0ﾂ
0xb3c8: % 0
0xb3e8: % 0T
0xb42c: % 0
0xb43d: ＞
0xb532: ",
0xb555: ＞
0xb576: -
0xb57a :
0xb58d: ≠ Semi
0xb5bd : Ut
0xb5f4:屨・
0xb74c: Cough
0xb752: "
0xb803: Silkworm
0xb842: ､
0xb8ce :
0xb8d2: -ﾟ
0xb8d6: A
0xb8da :
0xb8de: Uh
0xb8e2: E
0xb8e6: O
0xb8ea: K
0xb8ee: K
0xb8f2 :
0xb912 :
0xb94a :
0xb99d: Kuta
0xba12 :
0xba1a:ｰﾟ
0xba22: Uh
0xba2a: E
0xba2e: A
0xba32: O
0xba36 :
0xba3a: K
0xba3e :
0xbae2 :
0xbaea:ｰﾟ
0xbaf2: Uh
0xbafa: E
0xbafe: A
0xbb02 :
0xbcfa :
0xbd02: -
0xbd0a: U
0xbd12: Eh
0xbd16: A
0xbd1a :
0xbd4e: ｌラ
0xbd5a: lta
0xbdc6: T,
0xbe17: , 貲
0xbe3e: Letters
0xc0b2: -ﾟ
0xc0b6: A
0xc0ba :
0xc0be: Uh
0xc0c2: E
0xc0c6 :
0xc10e:ｰﾟ
0xc112 :
0xc19e: ･」
0xc1ce :
0xc1d2: -ﾟ
0xc1d6: A
0xc1da :
0xc1de: Uh
0xc28a: " "
0xc306: Uh
0xc30e:ｰﾟ
0xc312: A
0xc316: Yes
0xc31a: E
0xc31e :
0xc47a: ｜岪
0xc510: To
0xc514: -｡･
0xc522: -ﾟ
0xc526: A
0xc52a :
0xc622: Exit
0xc626: Traction
0xc62a:ｾ
0xc642: "
0xc64a: "
0xc656: ､ｯｯｯ
0xc689: <help
0xc6fa: "
0xc733: Thread
0xc777 :
0xc78d : ∴
0xc7d7: ､Ka
0xc7dd : ∴
0xc801: ÷
0xc841: <蒐
0xc8be :
0xc9ff :
0xca63 :
0xca89 : ∴
0xca9a: Sorry
0xcad6: Tsuo
0xcb0a: ”
0xcb0e: T,
0xcb1a: ｣Abandoned
0xcb1e: Ta,
0xcb26: Taho
0xcb39 : ∴
0xcb62 :
0xcb66: ｢Discarded
0xcb6a: To,
0xcb72 :
0xcbd2: ､
0xcbe2: ･ｯ
0xcbf2: Wow
0xcc02: Ahh
0xcc1e: T,
0xcc26: To drama
0xcc66: Ta,𡑭
0xcc72: "
0xcc9e:ｦShun
0xcca2: ,limited
0xccfa: ,limited
0xcd36: ､
0xcd62: ･ｯ
0xcd8e: "
0xcd96: A swamp
0xce76: Ugh
0xce9e: ｣cough
0xcede: ｢
0xcee6: ､ｯ
0xcf01: ｣ ъﾘ
0xcf42: Mumhe
0xcfb2: ､ｯ
0xd091 :
0xd15b: Rokuro
0xd199 :
0xd235: ÷
0xd23e: "
0xd26e: ､ｯﾂ
0xd275: ≠
0xd286: sorrow
0xd29e: Okay
0xd2a5 : ∴
0xd2bb: , ru
0xd2c1 : ∴
0xd2d6: Ahh
0xd2dd: ≠
0xd31f :
0xd36e: ｣⓮
0xd3d6: Hey
0xd410: K.
0xd430: Image
0xd450: Yaso
0xd45e :
0xd4a0: Eagle
0xd4cc: -.
0xd4f6 :
0xd562: ” sieve
0xd56a: "
0xd591 : ∴
0xd5fe: Nah,
0xd615 : ∴
0xd66d: K.
0xd681: -.
0xd6ba: ｡
0xd6da: ｡
0xd6de :
0xd789: iii.
0xd876: Hikohe
0xd8b6: ｡
0xd8d6: ｡
0xd8ea: Ayori
0xd95d : ∴
0xd9c3: Togashi
0xd9df: Togashi
0xd9f9 : ∴
0xda5a: ･Semi
0xda61: Ta.
0xda9d :
0xdac2: Ugh
0xdacf: Niu
0xdbae :
0xdbb9: K.
0xdbe2 :
0xdbfa :
0xdc36 :
0xdc4a :
0xdc76 :
0xdca9: -.
0xdd0e :
0xdd6a :
0xdd96 :
0xdd9a :
0xddbd: -.
0xddca: ｡ﾇ、
0xde16 :
0xde1e: ｡ﾇ、
0xde72 :
0xdebe: ｢
0xded2: ｡ﾇ
0xdef2: ｡ﾇ
0xdf4a: Tanu
0xdf56: Tanu
0xdf6a: ｡ﾇ
0xdf82: "
0xdf92: Tanu
0xdf9e: "
0xdfa2: ｡ﾇ
0xe0bf: ni,
0xe226:ｬ蹤
0xe292 :
0xe30f: Joya
0xe32b :
0xe3fe: ｣
0xe422 :
0xe462: "
0xe486: lta
0xe48e: ．Ta
0xe4ca :
0xe4fe :
0xe512: "
0xe536 :
0xe53a: "
0xe54e: ． ﾂ
0xe5b7 :
0xe5f1: ≠
0xe601: ÷
0xe61a: "
0xe626 :
0xe646 :
0xe662 :
0xe696: "
0xe6a1:ｨ． Ta
0xe6b6: ｡ﾇ、
0xe70e :
0xe742 :
0xe776: "
0xe7a1:ｨ． Ta
0xe7bb :
0xe7c6: "
0xe80e :
0xe842 :
0xe89e : ∉Ta
0xe94e: ”Drama
0xe966: I,
0xea09 : ∴
0xea2d : ∴
0xea35 : ∴Akira
0xea5a: Ah
0xea65: ∴ｯ惔
0xea79 : ∴
0xea97: Kogo
0xeb25 : ∴
0xec53: Ota
0xecfd : ∴BaMe
0xed09 : ∴sou
0xed27 :
0xed35: <Introduction
0xed49 : ∴
0xed6a :
0xed81: Q. ё
0xee4f: Grin
0xf003: Grin
0xf017: Grin
0xf065:ｨ． Ta
0xf10d : ∴
0xf131: Q. ё
0xf20f: Grin
0xf3d5: ∴ｯ𡑭
0xf3ef: Grin
0xf403: Grin
0xf45e: , Shuu
0xf462: ･Exclusion
0xf466: Rights
0xf476 :
0xf47e :
0xf496 :
0xf4a1 : ∴
0xf4be: Craftsman
0xf4e1 : ∴
0xf4ee: ､
0xf50e: Craftsman
0xf549 : ∴
0xf55e: bell
0xf572: ",
0xf57e: 」,
0xf59e: To drama
0xf6d5: ≠ Attack
0xf7b1: >Swamp
0xf7d1 : ∴
0xf7e4:ﾜ龻斻
0xf821 : ∴
0xf8f5 : ∴
0xf92a :
0xf955: ≠
0xfa3a: ｣
0xfa91 : ∴
0xfbd1 : ∴
0xfbf6: Swamp
0xfbfb :
0xfc17 :
0xfc21 : ∴
0xfc5d: ＜Gun
0xfc75: ∴ｯ脧
0xfc84: Wa
0xfcae: Award
0xfe10: Hehe
0xfe25 : ∴Ya
0xfe3e:ｨ戎
0xfe7a: To drama
0xfe9e: ｢┯
0x1006f :
0x1007c:ﾆ
0x100f1: ≠ Semi
0x1011e:ｨgon
0x1013d : ∴
0x1014e:ｨ戎
0x10189 : ∴
0x101f2: Lonely
0x1023f :
0x10283: Knee
0x10309: iii.
0x10315: Ta.
0x10325: -.
0x10405 : ∴
0x10419: ∴ｯ脧
0x10432: Takumi
0x1045d : ∴
0x1046d: ÷
0x10476 :
0x10481 : ∴
0x1048d: ÷
0x10496: ･ｯ
0x104a1 : ∴
0x104bc: Cough
0x104c5: ≠ pine
0x104ed : ∴
0x10506: "
0x10522: Takumi
0x10551 : ∴
0x10579: ÷
0x1058e:ｨ戎
0x105b7: Adoption
0x105df: Nymph
0x1060a: T,
0x1061a :
0x10622 :
0x1062a :
0x10635 : ∴
0x106e1 : ∴
0x1075d : ∴
0x10779 : ∴
0x10799 : ∴
0x107b1: ＞Miscellaneous
0x107c1 : ∴
0x107d6:ｨSemi
0x107ed: ≠ Attack
0x10815 : ∴
0x1089e :
0x108ae: ．Ta
0x108c5 : ∴
0x108e1 : ∴
0x10976: Attack
0x109ec: Cough
0x10a9f: "Cough
0x10b13 :
0x10ba5 : ∴
0x10bbd: ≠ Autumn
0x10bee:ｨ戎
0x10c89: ＞Shun
0x10c9d : ∴
0x10cd4:人・
0x10ce4:ﾘ ,
0x10d51 : ∴
0x10d66: Remove
0x10d71: ÷
0x10d7a: Ahh
0x10d7e: State
0x10d8e: -ﾟ
0x10d92: A
0x10d96: Yes
0x10d9a: U
0x10d9e: E
0x10da2: O
0x10da6: K
0x10daa: Ki
0x10dae :
0x10db2 :
0x10db6: Kunu
0x10dba: Kinu
0x10dbe: Kanu
0x10dc2: Onu
0x10dc6: N
0x10eaa :
0x10efa: -ﾟ
0x1108e :
0x11096: Cough
0x110aa: A
0x110b2: Yes
0x110b6: Uh
0x110ba: E
0x110be: O
0x110c2 :
0x110c6: K
0x110ca :
0x110da: A
0x110de :
0x110e2: Uh
0x110e6: E
0x110ea: O
0x110ee: K
0x110f2: K
0x110f6 :
0x110fa :
0x1121e: ･Kimi
0x11246: "
0x1126a: "Ah
0x11276 :
0x11296: "
0x1129e: ”You
0x112aa: , Yui
0x112ba: "Ah
0x112c6 :
0x112ce: ､ｯ
0x112de: "Ah
0x11312: "
0x1132e: "
0x11332: "
0x1139e :
0x113a2: "
0x113a6 :
0x113aa :
0x113b6: "Ah
0x113d2: "
0x113da: ”You
0x113e6: , Yui
0x113f6: "
0x11402 :
0x1140a: ､
0x1141e: "
0x1142c:鑄・
0x11436: "
0x11446: ”
0x11456 :
0x1149a: ”
0x114b2: ”
0x114c6 :
0x114d2: , Sou
0x114e6: "
0x114ee: ､
0x11506 :
0x1151e: "
0x11528: Cough
0x11546: Wow
0x11566: "
0x11586: "
0x1158e :
0x11596: Ahh
0x1159a: "Ah
0x115a2: Ahh
0x115ca: "
0x115d2 :
0x115de: Ki
0x115e1: Hibori
0x115f6: Oh
0x115fe: "
0x11616: "
0x11622: , You
0x1162e: ･ Ju∞ state
0x11642: "
0x1164a :
0x11656: ･ｯ
0x1165a: Ah
0x11672 :
0x1167e: " "
0x11695: ＜Inn
0x116b1 : ∴
0x116c1: ≠
0x116d6: "
0x116da: "Ahhh
0x116e2: "
0x116fa: " "
0x116fe: Wow
0x11702 :
0x1170a: "
0x1172e: Thank you
0x1173e: ､
0x1174a: "Ah
0x1178a: "
0x11796: ” Heavy
0x117a6: "Ah
0x117c6: "
0x117ce: ” Yui
0x117da: "
0x117de: ｣
0x117fe: “Kun”
0x11805 :
0x1187a: "Ah
0x11882 :
0x1188a :
0x1188e: ĪTa
0x118b2: Wah
0x118b6: "Ah
0x118be: Ah
0x118ca: ĪTa
0x118f6: ĪTa
0x1191a: Wah
0x1191e: "
0x11926: Ah
0x119ce: "Advice
0x119d6: ” Yui
0x119de: ｣
0x119e6: "
0x119ea: ｣
0x11b06: "
0x11b2a: "
0x11b46: -
0x11b4a: A
0x11b4e: Yeah
0x11b52: Uh
0x11b56: E
0x11b5a: Ota
0x11b5e: Money
0x11b62: You
0x11b66: Celery
0x11b6a :
0x11b6e: N
0x11bbf :
0x11ca3: , Q
0x11cdc: Cough
0x11d03 : Decision
0x11d0a: -ﾟ
0x11d0e :
0x11d62: юﾀ
0x11eb6: Continuation Ι
0x11f62: ｜Gon
0x11f76: ,U
0x11f7a: ､ｷ
0x11f87: Thread
0x11f8b: Car
0x11fbf :
0x11fe6: ､
